Entry Time,Entry Price,Exit Time,Exit Price,Direction,Volume,Profit/Loss,Profit %,Duration (min)
2026-05-06 18:09:00,4685.22700,2026-05-06 18:10:00,4685.57900,BUY,0.02,0.70,0.0075,1.0
2026-05-06 18:15:00,4687.42100,2026-05-06 18:16:00,4688.30000,BUY,0.02,1.76,0.0188,1.0
2026-05-06 18:21:00,4690.05200,2026-05-06 18:22:00,4688.55200,BUY,0.02,-3.00,-0.0320,1.0
2026-05-06 18:29:00,4687.86300,2026-05-06 18:30:00,4687.29200,SELL,0.02,1.14,0.0122,1.0
2026-05-06 18:39:00,4688.08500,2026-05-06 18:40:00,4686.78800,SELL,0.02,2.59,0.0277,1.0
2026-05-06 18:45:00,4687.41000,2026-05-06 18:46:00,4686.68800,SELL,0.02,1.44,0.0154,1.0
2026-05-06 18:51:00,4685.69300,2026-05-06 18:52:00,4685.45200,SELL,0.02,0.48,0.0051,1.0
2026-05-06 18:57:00,4686.28100,2026-05-06 18:58:00,4686.31600,SELL,0.02,-0.07,-0.0007,1.0
2026-05-06 19:29:00,4698.36800,2026-05-06 19:30:00,4695.62000,SELL,0.02,5.50,0.0585,1.0
2026-05-06 19:36:00,4697.41300,2026-05-06 19:37:00,4697.16900,SELL,0.02,0.49,0.0052,1.0
2026-05-06 19:42:00,4695.90300,2026-05-06 19:43:00,4694.81300,SELL,0.02,2.18,0.0232,1.0
2026-05-06 19:48:00,4695.63800,2026-05-06 19:49:00,4694.91100,SELL,0.02,1.45,0.0155,1.0
2026-05-06 19:56:00,4696.25300,2026-05-06 19:58:00,4695.54900,SELL,0.02,1.41,0.0150,2.0
2026-05-06 20:03:00,4694.59800,2026-05-06 20:07:00,4696.09800,SELL,0.02,-3.00,-0.0320,4.0
2026-05-06 20:12:00,4698.62500,2026-05-06 20:13:00,4698.54200,BUY,0.02,-0.17,-0.0018,1.0
2026-05-06 20:18:00,4698.39700,2026-05-06 20:19:00,4697.86400,BUY,0.02,-1.07,-0.0113,1.0
2026-05-06 20:56:00,4691.61100,2026-05-06 22:01:00,4693.59400,BUY,0.02,3.97,0.0423,65.0
2026-05-06 22:07:00,4692.11200,2026-05-06 22:08:00,4693.96900,BUY,0.02,3.71,0.0396,1.0
2026-05-06 22:13:00,4697.01700,2026-05-06 22:14:00,4697.10200,BUY,0.02,0.17,0.0018,1.0
2026-05-06 22:19:00,4699.43600,2026-05-06 22:20:00,4698.94100,BUY,0.02,-0.99,-0.0105,1.0
2026-05-06 22:43:00,4699.15200,2026-05-06 22:44:00,4698.63300,BUY,0.02,-1.04,-0.0110,1.0
2026-05-06 23:06:00,4697.88200,2026-05-06 23:09:00,4697.41600,BUY,0.02,-0.93,-0.0099,3.0
2026-05-06 23:41:00,4693.53800,2026-05-06 23:42:00,4693.60000,BUY,0.02,0.12,0.0013,1.0
2026-05-06 23:47:00,4699.23400,2026-05-06 23:48:00,4697.73400,BUY,0.02,-3.00,-0.0319,1.0
2026-05-06 23:53:00,4696.32100,2026-05-06 23:57:00,4697.45900,BUY,0.02,2.28,0.0242,4.0
2026-05-07 00:21:00,4698.42100,2026-05-07 00:22:00,4700.12100,BUY,0.02,3.40,0.0362,1.0
2026-05-07 01:03:00,4692.07700,2026-05-07 01:05:00,4695.02200,BUY,0.02,5.89,0.0628,2.0
