2026-05-10 17:05:47 | PRICE UPDATE | XAUUSDm Bid: 4715.13800 Ask: 4715.53400 | Step: 50 | Broker: 64ms | App: 0ms
2026-05-10 17:05:57 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 329ms
2026-05-10 17:05:57 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 221ms
2026-05-10 17:06:08 | HTTP Request: GET https://chroma-onnx-models.s3.amazonaws.com/all-MiniLM-L6-v2/onnx.tar.gz "HTTP/1.1 200 OK"
2026-05-10 17:07:14 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 82ms
2026-05-10 17:07:14 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 72ms
2026-05-10 17:07:14 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 96ms
2026-05-10 17:07:14 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 90ms
2026-05-10 17:07:14 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 77ms
2026-05-10 17:07:15 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 81ms
2026-05-10 17:07:15 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 69ms
2026-05-10 17:07:15 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 68ms
2026-05-10 17:07:15 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 68ms
2026-05-10 17:07:15 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 75ms
2026-05-10 17:07:15 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 77ms
2026-05-10 17:07:15 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 73ms
2026-05-10 17:07:16 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 79ms
2026-05-10 17:07:16 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 68ms
2026-05-10 17:07:16 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 85ms
2026-05-10 17:07:16 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 75ms
2026-05-10 17:07:16 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 81ms
2026-05-10 17:07:16 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 68ms
2026-05-10 17:07:16 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 72ms
2026-05-10 17:07:16 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 71ms
2026-05-10 17:07:17 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 81ms
2026-05-10 17:07:17 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 73ms
2026-05-10 17:07:17 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 68ms
2026-05-10 17:07:17 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 75ms
2026-05-10 17:07:17 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 74ms
2026-05-10 17:07:17 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 74ms
2026-05-10 17:07:17 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 86ms
2026-05-10 17:07:18 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 73ms
2026-05-10 17:07:18 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 70ms
2026-05-10 17:07:18 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 74ms
2026-05-10 17:07:18 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 76ms
2026-05-10 17:07:18 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 78ms
2026-05-10 17:07:18 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 84ms
2026-05-10 17:07:18 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 76ms
2026-05-10 17:07:19 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 86ms
2026-05-10 17:07:19 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 73ms
2026-05-10 17:07:19 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 70ms
2026-05-10 17:07:19 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 95ms
2026-05-10 17:07:19 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 82ms
2026-05-10 17:07:19 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 74ms
2026-05-10 17:07:19 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 80ms
